,Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,CO2.Emission
277,Romania,ROU,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,96365.093
278,Slovak Republic,SVK,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,37711.428
279,Slovenia,SVN,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,17355.911
280,Sweden,SWE,CO2 emissions (kt),EN.ATM.CO2E.KT,2008,49123.132
281,Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,62731.369
282,Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,99863.411
283,Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,42665.545
284,Cyprus,CYP,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,8111.404
285,Czech Republic,CZE,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,107659.453
286,Germany,DEU,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,722263.321
287,Denmark,DNK,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,44510.046
288,Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,288237.201
289,Estonia,EST,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,14565.324
290,Finland,FIN,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,53149.498
291,France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,351899.988
292,United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,471719.213
293,Greece,GRC,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,91942.691
294,Croatia,HRV,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,21165.924
295,Hungary,HUN,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,48510.743
296,Ireland,IRL,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,40314.998
297,Italy,ITA,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,401591.505
298,Lithuania,LTU,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,12519.138
299,Luxembourg,LUX,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,10392.278
300,Latvia,LVA,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,7231.324
301,Malta,MLT,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,2398.218
302,Netherlands,NLD,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,172371.002
303,Poland,POL,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,297617.387
304,Portugal,PRT,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,54176.258
305,Romania,ROU,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,81576.082
306,Slovak Republic,SVK,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,34037.094
307,Slovenia,SVN,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,15280.389
308,Sweden,SWE,CO2 emissions (kt),EN.ATM.CO2E.KT,2009,43065.248
309,Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,2010,67502.136
310,Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,2010,110824.074
311,Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,2010,44114.01
312,Cyprus,CYP,CO2 emissions (kt),EN.ATM.CO2E.KT,2010,7708.034
313,Czech Republic,CZE,CO2 emissions (kt),EN.ATM.CO2E.KT,2010,111579.476
314,Germany,DEU,CO2 emissions (kt),EN.ATM.CO2E.KT,2010,758859.981
315,Denmark,DNK,CO2 emissions (kt),EN.ATM.CO2E.KT,2010,46640.573
316,Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,2010,270910.626
317,Estonia,EST,CO2 emissions (kt),EN.ATM.CO2E.KT,2010,18107.646
318,Finland,FIN,CO2 emissions (kt),EN.ATM.CO2E.KT,2010,62082.31
319,France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,2010,353033.091
320,United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,2010,493207.833
321,Greece,GRC,CO2 emissions (kt),EN.ATM.CO2E.KT,2010,83856.956
322,Croatia,HRV,CO2 emissions (kt),EN.ATM.CO2E.KT,2010,20172.167
323,Hungary,HUN,CO2 emissions (kt),EN.ATM.CO2E.KT,2010,50223.232
324,Ireland,IRL,CO2 emissions (kt),EN.ATM.CO2E.KT,2010,40054.641
325,Italy,ITA,CO2 emissions (kt),EN.ATM.CO2E.KT,2010,405361.181
