,Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,CO2.Emission.PC
272,Latvia,LVA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,3.629405756
273,Malta,MLT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,6.252313871
274,Netherlands,NLD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,10.76402402
275,Poland,POL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,8.258160054
276,Portugal,PRT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,5.268402206
277,Romania,ROU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,4.692067363
278,Slovak Republic,SVK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,7.010558568
279,Slovenia,SVN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,8.58644121
280,Sweden,SWE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2008,5.328098275
281,Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2009,7.518751102
282,Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2009,9.249615685
283,Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2009,5.731193724
284,Cyprus,CYP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2009,7.386924038
285,Czech Republic,CZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2009,10.30832179
286,Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2009,8.818595562
287,Denmark,DNK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2009,8.058895601
288,Spain,ESP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2009,6.216973378
289,Estonia,EST,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2009,10.91432018
290,Finland,FIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2009,9.955194272
291,France,FRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2009,5.438356727
292,United Kingdom,GBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2009,7.574622131
293,Greece,GRC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2009,8.277892345
294,Croatia,HRV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2009,4.778855554
295,Hungary,HUN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2009,4.840111448
296,Ireland,IRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2009,8.889010942
297,Italy,ITA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2009,6.795651486
298,Lithuania,LTU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2009,3.958100057
