,Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,Population
412,Latvia,LVA,"Population, total",SP.POP.TOTL,2013,2012647
413,Malta,MLT,"Population, total",SP.POP.TOTL,2013,425967
414,Netherlands,NLD,"Population, total",SP.POP.TOTL,2013,16804432
415,Poland,POL,"Population, total",SP.POP.TOTL,2013,38040196
416,Portugal,PRT,"Population, total",SP.POP.TOTL,2013,10457295
417,Romania,ROU,"Population, total",SP.POP.TOTL,2013,19983693
418,Slovak Republic,SVK,"Population, total",SP.POP.TOTL,2013,5413393
419,Slovenia,SVN,"Population, total",SP.POP.TOTL,2013,2059953
420,Sweden,SWE,"Population, total",SP.POP.TOTL,2013,9600379
421,Austria,AUT,"Population, total",SP.POP.TOTL,2014,8546356
422,Belgium,BEL,"Population, total",SP.POP.TOTL,2014,11209057
423,Bulgaria,BGR,"Population, total",SP.POP.TOTL,2014,7223938
